Title,GitHubCoverURL
Sex Education,https://mrchristianq.github.io/chris-delicious-library/covers/tv/sex-education.jpg
The ABC Murders,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-abc-murders.jpg
Chilling Adventures of Sabrina,https://mrchristianq.github.io/chris-delicious-library/covers/tv/chilling-adventures-of-sabrina.jpg
The Dragon Prince,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-dragon-prince.jpg
Forever (2018),https://mrchristianq.github.io/chris-delicious-library/covers/tv/forever-2018.jpg
Tom Clancy's Jack Ryan,https://mrchristianq.github.io/chris-delicious-library/covers/tv/tom-clancys-jack-ryan.jpg
The Innocents,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-innocents.jpg
Disenchantment,https://mrchristianq.github.io/chris-delicious-library/covers/tv/disenchantment.jpg
Insatiable,https://mrchristianq.github.io/chris-delicious-library/covers/tv/insatiable.jpg
Lodge 49,https://mrchristianq.github.io/chris-delicious-library/covers/tv/lodge-49.jpg
Castle Rock,https://mrchristianq.github.io/chris-delicious-library/covers/tv/castle-rock.jpg
The Bureau of Magical Things,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-bureau-of-magical-things.jpg
Succession,https://mrchristianq.github.io/chris-delicious-library/covers/tv/succession.jpg
Cobra Kai,https://mrchristianq.github.io/chris-delicious-library/covers/tv/cobra-kai.jpg
Killing Eve,https://mrchristianq.github.io/chris-delicious-library/covers/tv/killing-eve.jpg
Ordeal by Innocence,https://mrchristianq.github.io/chris-delicious-library/covers/tv/ordeal-by-innocence.jpg
Barry,https://mrchristianq.github.io/chris-delicious-library/covers/tv/barry.jpg
Stargate Origins,https://mrchristianq.github.io/chris-delicious-library/covers/tv/stargate-origins.jpg
Altered Carbon,https://mrchristianq.github.io/chris-delicious-library/covers/tv/altered-carbon.jpg
Requiem,https://mrchristianq.github.io/chris-delicious-library/covers/tv/requiem.jpg
The New Legends of Monkey,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-new-legends-of-monkey.jpg
Counterpart,https://mrchristianq.github.io/chris-delicious-library/covers/tv/counterpart.jpg
The Indian Detective,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-indian-detective.jpg
Future Man,https://mrchristianq.github.io/chris-delicious-library/covers/tv/future-man.jpg
Sick Note,https://mrchristianq.github.io/chris-delicious-library/covers/tv/sick-note.jpg
Creeped Out,https://mrchristianq.github.io/chris-delicious-library/covers/tv/creeped-out.jpg
Ryan Hansen Solves Crimes on Television,https://mrchristianq.github.io/chris-delicious-library/covers/tv/ryan-hansen-solves-crimes-on-television.jpg
The End of the F***ing World,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-end-of-the-fing-world.jpg
Loudermilk,https://mrchristianq.github.io/chris-delicious-library/covers/tv/loudermilk.jpg
MINDHUNTER,https://mrchristianq.github.io/chris-delicious-library/covers/tv/mindhunter.jpg
Ghosted,https://mrchristianq.github.io/chris-delicious-library/covers/tv/ghosted.jpg
Star Trek: Discovery,https://mrchristianq.github.io/chris-delicious-library/covers/tv/star-trek-discovery.jpg
American Vandal,https://mrchristianq.github.io/chris-delicious-library/covers/tv/american-vandal.jpg
The Orville,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-orville.jpg
Mr. Mercedes,https://mrchristianq.github.io/chris-delicious-library/covers/tv/mr-mercedes.jpg
Ozark,https://mrchristianq.github.io/chris-delicious-library/covers/tv/ozark.jpg
I'm Sorry,https://mrchristianq.github.io/chris-delicious-library/covers/tv/im-sorry.jpg
Castlevania,https://mrchristianq.github.io/chris-delicious-library/covers/tv/castlevania.jpg
GLOW,https://mrchristianq.github.io/chris-delicious-library/covers/tv/glow.jpg
Money Heist,https://mrchristianq.github.io/chris-delicious-library/covers/tv/money-heist.jpg
The Handmaid's Tale,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-handmaids-tale.jpg
13 Reasons Why,https://mrchristianq.github.io/chris-delicious-library/covers/tv/13-reasons-why.jpg
Snatch,https://mrchristianq.github.io/chris-delicious-library/covers/tv/snatch.jpg
Crashing,https://mrchristianq.github.io/chris-delicious-library/covers/tv/crashing.jpg
Big Little Lies,https://mrchristianq.github.io/chris-delicious-library/covers/tv/big-little-lies.jpg
Legion,https://mrchristianq.github.io/chris-delicious-library/covers/tv/legion.jpg
Santa Clarita Diet,https://mrchristianq.github.io/chris-delicious-library/covers/tv/santa-clarita-diet.jpg
The Crown,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-crown.jpg
Westworld,https://mrchristianq.github.io/chris-delicious-library/covers/tv/westworld.jpg
Fleabag,https://mrchristianq.github.io/chris-delicious-library/covers/tv/fleabag.jpg
Stranger Things,https://mrchristianq.github.io/chris-delicious-library/covers/tv/stranger-things.jpg
Another Life,https://mrchristianq.github.io/chris-delicious-library/covers/tv/another-life.jpg
Letterkenny,https://mrchristianq.github.io/chris-delicious-library/covers/tv/letterkenny.jpg
The Shannara Chronicles,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-shannara-chronicles.jpg
The Expanse,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-expanse.jpg
Superstore,https://mrchristianq.github.io/chris-delicious-library/covers/tv/superstore.jpg
Marvel's Jessica Jones,https://mrchristianq.github.io/chris-delicious-library/covers/tv/marvels-jessica-jones.jpg
Master of None,https://mrchristianq.github.io/chris-delicious-library/covers/tv/master-of-none.jpg
Ash vs Evil Dead,https://mrchristianq.github.io/chris-delicious-library/covers/tv/ash-vs-evil-dead.jpg
Scream Queens,https://mrchristianq.github.io/chris-delicious-library/covers/tv/scream-queens.jpg
Doctor Foster,https://mrchristianq.github.io/chris-delicious-library/covers/tv/doctor-foster.jpg
Fear the Walking Dead,https://mrchristianq.github.io/chris-delicious-library/covers/tv/fear-the-walking-dead.jpg
Scream: The TV Series,https://mrchristianq.github.io/chris-delicious-library/covers/tv/scream-the-tv-series.jpg
Mr. Robot,https://mrchristianq.github.io/chris-delicious-library/covers/tv/mr-robot.jpg
Ballers,https://mrchristianq.github.io/chris-delicious-library/covers/tv/ballers.jpg
Sense8,https://mrchristianq.github.io/chris-delicious-library/covers/tv/sense8.jpg
Marvel's Daredevil,https://mrchristianq.github.io/chris-delicious-library/covers/tv/marvels-daredevil.jpg
The Last Man on Earth,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-last-man-on-earth.jpg
The Man in the High Castle,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-man-in-the-high-castle.jpg
Schitt's Creek,https://mrchristianq.github.io/chris-delicious-library/covers/tv/schitts-creek.jpg
Grantchester,https://mrchristianq.github.io/chris-delicious-library/covers/tv/grantchester.jpg
Outlander,https://mrchristianq.github.io/chris-delicious-library/covers/tv/outlander.jpg
Fargo,https://mrchristianq.github.io/chris-delicious-library/covers/tv/fargo.jpg
Silicon Valley,https://mrchristianq.github.io/chris-delicious-library/covers/tv/silicon-valley.jpg
